model,params,train_time_s,val/loss,val/loss_best,val/r2,val/r2_best,test/loss,test/loss_best,test/r2,test/r2_best,test/rmse,test/rmse_best,test/mae,test/mae_best,epochs
QLSTM_4q,640,230.3,0.04145282134413719,0.041414953768253326,0.925823450088501,0.925884485244751,0.046637166291475296,0.046637166291475296,0.9018325209617615,0.9018325209617615,0.2983895540237427,0.2983895540237427,0.18508662283420563,0.18508662283420563,40
QLSTM_8q,1216,444.4,0.04927219823002815,0.04927219823002815,0.9079054594039917,0.9079054594039917,0.06021422520279884,0.06021422520279884,0.8631818890571594,0.8631818890571594,0.3444650173187256,0.3444650173187256,0.2201968878507614,0.2201968878507614,40
QLSTM_12q,1792,1606.3,0.01979943923652172,0.019781185314059258,0.9626877903938293,0.962715208530426,0.030102310702204704,0.030102310702204704,0.9313213229179382,0.9313213229179382,0.23873630166053772,0.23873630166053772,0.1434866189956665,0.1434866189956665,40
cQLSTM_4q,1627,71.0,0.014041617512702942,0.013981333002448082,0.9742750525474548,0.9744048714637756,0.02473244071006775,0.02473244071006775,0.9409688115119934,0.9409688115119934,0.2149711698293686,0.2149711698293686,0.12407740205526352,0.12407740205526352,40
cQLSTM_8q,2983,112.4,0.012548698112368584,0.01215315517038107,0.9758861660957336,0.976725161075592,0.026011481881141663,0.026011481881141663,0.9354265928268433,0.9354265928268433,0.2186586856842041,0.2186586856842041,0.13396310806274414,0.13396310806274414,37
cQLSTM_12q,4339,407.7,0.013168773613870144,0.012986727058887482,0.9749913215637207,0.9753507971763611,0.0269747544080019,0.0269747544080019,0.9355729222297668,0.9355729222297668,0.22263607382774353,0.22263607382774353,0.13785119354724884,0.13785119354724884,40
QSSM_4q,987,62.0,0.012663831003010273,0.012356208637356758,0.9764633178710938,0.9770154356956482,0.0247124545276165,0.0247124545276165,0.938878059387207,0.938878059387207,0.21011292934417725,0.21011292934417725,0.12231146544218063,0.12231146544218063,35
QSSM_8q,1831,103.7,0.012271562591195107,0.011888615787029266,0.9772641658782959,0.9778500199317932,0.02856588549911976,0.02856588549911976,0.9300002455711365,0.9300002455711365,0.23077549040317535,0.23077549040317535,0.13532942533493042,0.13532942533493042,34
QSSM_12q,2675,387.2,0.013303300365805626,0.013060796074569225,0.9746198654174805,0.9751562476158142,0.02826661802828312,0.02826661802828312,0.9305128455162048,0.9305128455162048,0.23080281913280487,0.23080281913280487,0.14207823574543,0.14207823574543,38
cQSSM_4q,1447,90.4,0.011272343806922436,0.011081534437835217,0.9788371920585632,0.9792465567588806,0.02537260577082634,0.02537260577082634,0.9364664554595947,0.9364664554595947,0.21474967896938324,0.21474967896938324,0.1262187957763672,0.1262187957763672,38
cQSSM_8q,2559,145.0,0.017269672825932503,0.01625945046544075,0.9672271013259888,0.9688228964805603,0.03223678469657898,0.03223678469657898,0.9212433695793152,0.9212433695793152,0.24940019845962524,0.24940019845962524,0.16272753477096558,0.16272753477096558,35
cQSSM_12q,3671,407.1,0.016343189403414726,0.0152250025421381,0.9673924446105957,0.9698599576950073,0.0341060608625412,0.0341060608625412,0.9168051481246948,0.9168051481246948,0.2553049325942993,0.2553049325942993,0.16317118704319,0.16317118704319,30
QDeltaNet_4q,2115,161.5,0.01830216869711876,0.018244372680783272,0.9625993967056274,0.9627410173416138,0.032916173338890076,0.032916173338890076,0.9199294447898865,0.9199294447898865,0.2501567304134369,0.2501567304134369,0.15629394352436066,0.15629394352436066,37
QDeltaNet_8q,3879,207.2,0.020627085119485855,0.018785536289215088,0.9601967334747314,0.9633426070213318,0.035038020461797714,0.035038020461797714,0.9160332679748535,0.9160332679748535,0.2612422704696655,0.2612422704696655,0.1676255762577057,0.1676255762577057,26
QDeltaNet_12q,5643,1095.6,0.020897626876831055,0.02025774121284485,0.9597490429878235,0.9614138007164001,0.04518287256360054,0.04518287256360054,0.89444500207901,0.89444500207901,0.2946733236312866,0.2946733236312866,0.18351861834526062,0.18351861834526062,39
LSTM,20480,14.3,0.01666533201932907,0.01666533201932907,0.968677282333374,0.968677282333374,0.03074773959815502,0.03074773959815502,0.924627959728241,0.924627959728241,0.24340349435806274,0.24340349435806274,0.15750156342983246,0.15750156342983246,40
cLSTM,20495,9.7,0.019030064344406128,0.018523553386330605,0.9626529216766357,0.9635894298553467,0.032633017748594284,0.032633017748594284,0.9216092824935913,0.9216092824935913,0.2515570819377899,0.2515570819377899,0.15831084549427032,0.15831084549427032,26
SSM,10255,10.6,0.016063697636127472,0.01524865347892046,0.9686376452445984,0.9701666831970215,0.033167529851198196,0.033167529851198196,0.9220593571662903,0.9220593571662903,0.25149092078208923,0.25149092078208923,0.1521238088607788,0.1521238088607788,28
DeltaNet,7391,20.1,0.04630902037024498,0.04540523886680603,0.9006649851799011,0.9027889966964722,0.07526055723428726,0.07526055723428726,0.8182393908500671,0.8182393908500671,0.38844674825668335,0.38844674825668335,0.26400765776634216,0.26400765776634216,40
